	url	title	details
0	http://video.kepuchina.cn/spaq/content_1494.shtml	儿童饮食健康 第1集	儿童新陈代谢旺盛，对各种营养素的需要量相对高于成人，合理的膳食习惯是儿童健康成长的保证。
1	http://www.kepuchina.cn/1/11/201710/t20171024_234255.shtml	“多吃肥肉更长寿”系误读 健康饮食还得注意多样化	近日，朋友圈中流传着一些为脂肪“正名”的文章，这些文章大多来源于医学杂志《柳叶刀》于8月29日发表的一项关于饮食方面的研究。
2	http://www.kepuchina.cn/health/care/201802/t20180226_553946.shtml	节后一定要看的健康饮食，让你打好保“胃”战	略了这些不健康的饮食习惯给肠胃带来不必要的负担。以上是小编总结梳理的节日保护肠胃的方法，提醒大家健康护肠胃呦！公众科普科学传播中国科协官方微信国家科普平台长按识别左侧二维码，关注我们。...
3	http://www.kepuchina.cn/qykj/shkx/201612/t20161222_56825.shtml	吃红肉不健康？专家称红肉是健康饮食的一部分	"比如，英美健康饮食指南就建议，红肉每日摄入量不超过７０克。但最新一期《美国临床营养学杂志》刊载的一项研究结果显示，多吃点红肉不会影响血压、胆固醇等心脏病风险因素的水平，相反，未加工红肉对心血管疾病患者而言还是一种优质的营养来源。
美国普渡大学研究人员综合分析了２４项有关心血管疾病患者饮食习惯与心脏病风险关联的临床研究后发现，每次食用８５..."
4	http://www.kepuchina.cn/health/food/201807/t20180704_646885.shtml	湿热交织身体不适？你需要一份健康的饮食清单	织的时节，饮食上稍有不慎，就可能导致身体出现不适。据《广州日报》报道，木槿花味微苦，具有清热利湿、凉血解毒之功，常用于治疗痢疾腹泻，疮肿及小便不利等。将生姜切丝，与虾仁一起放入锅中煸炒后加入1000ml清水，大火烧开后再加入切丝的嫩豆腐、蛋清及木槿花，转中火烧开后调味即可。据《西安晚报》报道，中医认为脾主运化，喜燥恶湿，因此小满时节饮食调理应以清热利湿、助脾运化为基...
5	http://www.kepuchina.cn/2/23/201709/t20170925_228702.shtml	饮食过量导致肥胖，如何合理饮食瘦下来?	饮食过量导致肥胖，如何合理饮食瘦下来?
6	http://www.kepuchina.cn/more/201608/t20160819_20098.shtml	跟着饮食走 良好饮食习惯能长寿	良好的饮食习惯有哪些，而不良的饮食习惯又有哪些，都来看一看。 声明：图片来源网络，如有侵权，敬请告知良好的饮食习惯。7.少喝或者是不喝咖啡以及浓茶，因为咖啡喝浓茶中含有的物质不利于钙质的吸收。2.吃得太饱吃得太饱会增加胃的负担，会导致胃液的供不应求，造成消化不良，同时也会导致血液集中在肠胃，而大脑、心脏会相应的缺血，久而久之，会容易导致冠心...
7	http://www.kepuchina.cn/1/15/201612/t20161219_56076.shtml	寒冬饮食三不宜	但是寒冬饮食也需注意以下三点，否则可能会因为大雪饮食不当给我们来年身体造成一些健康困扰。我们中国人的体质也不适宜多吃寒凉的食物，所以这个时节饮食不宜贪凉。
8	http://www.kepuchina.cn/2/23/201611/t20161117_45979.shtml	注意啦！“过午不食”并不是健康的饮食习惯	"在日常饮食中，一些人往往会把购买的食材彻底清洗干净，还有一些人采用“过午不食”的方法来保持身材，这些做法靠谱吗？针对大家的疑问，记者采访到信科食品与营养信息交流中心业务部主任阮光锋老师来为大家解答。

吃水果补充维生素C(图片来源：人民网-安徽频道）
食物不必过分追求洗净
为求得心理上的安全感，人们往往将购买回来的蔬菜、水果彻底清洗干净，认为这样才能吃得健康［..."
9	http://www.kepuchina.cn/health/care/201805/t20180509_627144.shtml	母亲节关注“妈妈健康” 更年期饮食要注意这6点	关于“妈妈健康”的话题又被很多人关注了起来。确实，再过美丽温柔的女人都无法逃脱更年期的“侵袭”，在更年期这段时期里，女性可能会出现各种各样的身心不适，又因不少女性在这个阶段情绪阴晴不定，有人甚至把“易燃易爆炸”作为更年期的代名词。大多数人不知道的是，饮食合理对于帮助女性更加顺利的度过更年期意义重大。那么，更年期究竟该如何界定呢？要想安稳地度过更年期，女性在［ｓｐａｎ...
10	http://www.kepuchina.cn/3/33/201709/t20170914_224539.shtml	饮食不当小心吃出胆结石 如何才能做一个健康的“吃货”？	饮食不当小心吃出胆结石如何才能做一个健康的“吃货”？吴可人介绍， “胆汁主要由两种成分构成，即胆固醇和胆汁酸，任何影响这两种成分浓度比例，或者能造成胆汁淤积的因素都有可能引发胆结石。
11	http://www.kepuchina.cn/health/disease/201808/t20180830_699302.shtml	脂肪肝患者饮食有讲究 粗杂粮、低糖水果利健康	"同时，日常饮食中应多吃粗杂粮，这些食物中含有较多的无机盐、维生素，又富含膳食纤维，适合脂肪肝患者食用。
2.肉蛋类食物。《生命时报》还提到，脂肪肝患者应避免食用高脂肪、高胆固醇食物，如动物内脏、鸡皮、猪脑等，少喝肉汤、鸡汤、鱼汤等；饮食中最好包括适量瘦肉、鸡蛋和鱼虾，这样有助于为身体提供优质蛋白、卵磷脂、维生素等重要营养素，有益于防治脂肪肝。
3.水果蔬菜。..."
12	http://www.kepuchina.cn/2/23/201712/t20171218_325492.shtml	地中海饮食有利心血管健康 令肥胖风险降五成	"，地中海式饮食有利心血管健康。西班牙一项研究表明，坚持地中海式饮食还能让肥胖几率降低近五成，即使不锻炼也可以。
西班牙纳瓦拉大学研究人员招募了1.6万名身体健康、体型正常的成年志愿者，要求他们填写饮食习惯问卷。经常吃蔬菜、水果、谷物、坚果、橄榄油、豆类和土豆可以加分，而常吃动物脂肪、奶..."
13	http://www.kepuchina.cn/2016zt/kpzgldyytc/sqxc/xsjq/02/201806/t20180615_639423.shtml	小暑之：饮食	7月7日迎来农历二十四节气的“小暑”，标志着我国大部分地区进入炎热季节。此时，天气炎热，人体出汗多，消耗大，养生保健一定要注意补充体力。欢迎收听“腾讯健康”官方微信。
14	http://www.kepuchina.cn/health/disease/201808/t20180806_668825.shtml	夏季肾结石易高发？定期筛查、健康饮食很重要	在我们身边，患有肾结石的人不在少数。肾结石是泌尿外科最为常见的疾病之一，夏季更是肾结石的高发季，因此据人民健康网报道，形成肾结石的化学成分存在于尿液中，包括钙、草酸、磷、尿酸等，这些物质在浓度高到一定程度会脱离溶解状态
15	http://www.kepuchina.cn/1/13/201701/t20170109_59965.shtml	孕期饮食，周周有重点	孕育一个健康的宝宝是父母们最大的心愿，孕期调整好饮食能为宝宝的健康打下良好的基础。胎儿在每个阶段发育的部位不同，所需营养的侧重点也应有所区别。
16	http://www.kepuchina.cn/1/11/201612/t20161216_55174.shtml	痛风有哪些饮食禁忌 饮食遵循5原则	"用药，请问饮食上具体要注意哪些？
哈尔滨医科大学附属第四医院高级营养师卢大平解答：患者在痛风急性期要严格限用高嘌呤食物（每100克食物含嘌呤大于100毫克），如动物内脏、沙丁鱼、小虾等部分水产品、浓的肉汤或鱼汤，以及扁豆、芦笋、豆苗等部分蔬菜。宜吃不含嘌呤或含嘌呤很少的食物，包括牛奶、鸡蛋、精白面、大米、卷心菜、芹菜、黄瓜、萝卜、土豆、茄子、南瓜等。待症状缓解后，可选用嘌呤含量较少的食物..."
17	http://www.kepuchina.cn/health/drug/201802/t20180222_552964.shtml	发烧儿童饮食须知	甚至对儿童健康的损害更大，故应以适量饮用为度。儿童发烧后，消化道分泌液减少，消化酶活力降低，食欲下降，在饮食上，提倡宜饿不宜饱。同时，蛋白质含量丰富的食物，如超过了另外两种产能营养素脂肪与碳水化合物时，大量进食蛋白质含量丰富的食物，使发烧儿童体温更高。食用甜食，大量消耗维生素B1，会导致已降低的消化液进一步降低，更加影响食欲。...
18	http://www.kepuchina.cn/kpcs/jyh/jyh1/201712/t20171218_325882.shtml	给“无辣不欢”的你：长期辛辣饮食或有害身体健康	"其实，这种饮食习惯对人的健康是不利的。
吃辣会有什么影响？
北京协和医院临床营养科副主任于康在接受环球网采访时表示，吃的过咸过辣易让肠胃产生灼烧感，导致胃食管反流、便秘、大便干燥或消化不良等问题。此外，重庆市肿瘤医院胸外科副主任綦俊在接受北方网采访时也表示，长期吃辛辣、刺激的食物易造成食管黏膜损伤，可能导致食管癌。
什么食物可以缓解辣味？
吃辣之后，..."
19	http://www.kepuchina.cn/3/33/201612/t20161212_53383.shtml	英国扩大垃圾饮食广告禁令范围	英国从明年起将实施禁止在针对１６岁以下未成年人媒体上投放垃圾饮食广告的新规定，以减少儿童肥胖现象。
20	http://www.kepuchina.cn/1/11/201701/t20170120_64754.shtml	春节“饮食秘笈”早知道	想要漂漂亮亮过个春节就要准备好春节饮食清单。下面小编就给大家分享一些春节不长肥膘的方法，一起来看看吧。
21	http://www.kepuchina.cn/1/14/201703/t20170313_143589.shtml	“药疗不如食疗” 教您如何饮食养生	饮食养生又称“食养”“食补”，泛指利用饮食来达到营养机体、保持健康或增强体质的活动。中医认为，冬季应多食用一些偏于温热的食物，特别是能够温补肾阳的饮食，以增强机体的御寒能力。
22	http://www.kepuchina.cn/3/35/201701/t20170120_64864.shtml	三个饮食原则终生防癌	3月23日，卫生部中日友好医院的两位权威专家李佩文教授和万冬桂教授就在本院，为患者奉献了一场精彩的饮食防癌讲座。
23	http://www.kepuchina.cn/health/care/201901/t20190117_923378.shtml	不是吃太多，就是吃太少？老年人应注意健康饮食	"文字：首都医科大学附属北京天坛医院营养科副主任医师许英霞
绘图：复旦大学附属中山医院医生何义舟
主审：首都医科大学附属北京天坛医院急诊介入科主任、主任医师缪中荣
“猫大夫医学科普”供稿"
24	http://www.kepuchina.cn/health/disease/201804/t20180410_572284.shtml	得了脑中风饮食注意啥？	“脑中风”健康系列之得了脑中风饮食注意啥？
25	http://www.kepuchina.cn/health/disease/201804/t20180410_572481.shtml	如何饮食才能远离高血压	改善饮食习惯，远离高血压病
26	http://www.kepuchina.cn/1/11/201612/t20161212_53559.shtml	老年人别陷入5大饮食误区	生活中，有的老人因咀嚼功能或者肠胃功能不好而长年吃粥，或是吃煮得比较烂的菜等，这真的是健康吗？今天小编盘点一些老人常见的饮食误区，作为子女的你们，一定要了解哦。
27	http://www.kepuchina.cn/1/11/201709/t20170925_228714.shtml	饮食“三多三少”可护心	前不久， 《美国医学会杂志》发表的一篇文章显示，在2012年，美国因心脏病等导致的死亡中，有近一半与不健康的饮食方式相关。
28	http://www.kepuchina.cn/3/32/201705/t20170519_199035.shtml	调整饮食、远离香烟 高血压患者必遵守	心血管病专家、湘雅三医院江凤林副教授在接受《安徽日报》的采访中指出，科学合理的饮食是防控慢性疾病最重要的途径之一，多了解高血压患者的饮食特点，可以帮助患者进行身体调理，避免由于饮食不当对身体造成更大的伤害。
29	http://www.kepuchina.cn/1/11/201708/t20170807_215283.shtml	高温天气饮食有讲究？来看看夏季应如何正确饮食	"其实，夏季饮食有一些需要注意的地方。
夏季要想降温解暑应该多喝水
很多人只知道肌肤需要补水，其实人的身体同样需要“喝水”。据《钱江晚报》报道，夏天要想降温解暑，首先要从饮水开始，夏季每人每天至少应饮用1.5升~2升的温水，但应少饮酒，因为酒精会加速人体水分的流失。
保证一日三餐规律进食
据环球网报道，人体需要消化的食物越多，体温上升得就越快，所以为了保持恒温，天气炎热时人们常..."
30	http://www.kepuchina.cn/qykj/nyxkj/201612/t20161205_49095.shtml	健康土壤带来健康生活	2013年12月，第68届联合国大会正式宣布，将2015年定为“国际土壤年”，其口号为“健康土壤带来健康生活”。
31	http://video.kepuchina.cn/jkyl/content_11201.shtml	可可小爱儿童健康-第09集《饮食有度多运动 身体健康不肥胖》	《可可小爱》以清新时尚、活泼可爱的动漫宝贝可可和小爱，来演绎公民道德、生态环保、人文关怀、文明礼仪、少儿品德培育、安全教育等爱心公益主题故事。为全国首部500集大规模、定位“弘扬美德、传播文明”的爱心公益动漫品牌。
32	http://www.kepuchina.cn/tech/biology/201811/t20181102_772628.shtml	低脂饮食可助杀死癌细胞	美国加州大学洛杉矶分校的一项新研究表明，饮食干预可以帮助杀死癌细胞。小鼠模型研究显示，患白血病的肥胖小鼠在化疗前将食物由高脂饮食改为低脂饮食后，其预后明显改善，存活率也显著提高。急性淋巴细胞白血病是最常见的一种儿童癌症。有研究发现，在患有这种癌症的儿童中，有三分之一的儿童在诊断出癌症时超重或肥胖
33	http://video.kepuchina.cn/jkyl/content_1075.shtml	科学饮食时间表	"于促进大脑健康，也似乎告诉我们吃核桃有利于大脑健康。不过，促进大脑发育这种事情一般只对小孩有作用，这也是现在很多婴幼儿的奶粉等食物宣称添加了DHA的原因，对于成年人来说，吃核桃对于补脑就几乎是没有什么效果了，更别指望吃核桃就可以变聪明了。
 
虽然“吃啥补啥”有些是有一定道理的，但这并不意味着所有的人只要是胃痛了就要吃猪肚，得了心脏病就要吃猪心……..."
34	http://www.kepuchina.cn/4/41/201702/t20170222_95447.shtml	心理与饮食的各种关系你知道不？	今天，小屋与大家讲一讲心理与饮食健康。希望小屋的这些推荐能帮助到你们，同时，小屋希望同学们都能够轻松快乐的走过美好的学习时光。
35	http://www.kepuchina.cn/qykj/zykx/201708/t20170822_220447.shtml	处暑期间的饮食需要注意些什么	今天是2015年的处暑，秋天的第二个节气。在这个时候天气仍然较热，要怎么合理安排日常的饮食呢？适应症：肺结核咳嗽咯血，以及老年慢性支气管炎伴有肺气肿。
36	http://www.kepuchina.cn/2/22/201611/t20161108_44363.shtml	营养专家：立冬饮食调养可“少咸增苦”	营养专家提醒，此时节，公众调养可温补。饮食宜多吃苦味食物，注意“少咸增苦”。
37	http://www.kepuchina.cn/more/201608/t20160819_20108.shtml	老年饮食法则“鸳鸯配”	3.甲鱼配蜜糖甲鱼与蜜糖一起烹调，不仅味甜、鲜美宜人，还含有丰富的蛋白质、不饱和脂肪酸、多种维生素，并有诸如辛酸、本多酸等特殊的强身成分，对老年人的心脏病、肠胃病等有很好的疗效。如豆腐蛋白质缺乏蛋氨酸和赖氨酸，鱼肉蛋白质则缺乏苯丙氨酸，营养学家称之为不完全蛋白质，若将两种食物同吃，就可以互相取长补短，使蛋白质的组成趋于合理，两种食物的蛋白质都变成了完全蛋白质，利用价值提高了。鸡蛋中含有丰富的蛋白质和各种维生素，比如B...
38	http://www.kepuchina.cn/2016zt/abc/bac/cba/201611/t20161107_44101.shtml	科学饮食时间表.	
39	http://www.kepuchina.cn/2/23/201708/t20170804_214984.shtml	立秋饮食养生的五大原则	立秋是24节气中的第13个节气，每年8月7日或8日太阳到达黄经135°时为立秋。沈小芬主任提醒：立秋节气到来，饮食也要与夏季有所不同，注意饮食才能更好地在季节变换的时候进行养生。
